user,text,time
@astragalll,let’s see if the Steelers got 2nd half,2s
@TurdBirdComedy,"Man, we might be the worst offense to ever make the #Playoffs First Half Stats: Passing Yards– Steelers 13 Chiefs 231 First Downs– Steelers 2 Chiefs 16 Total Yards– Steelers 44 Chiefs 302 #HereWeGo #WTF #ComeOnGuys @steelers #Steelers #Chiefs #SuperWildCardWeekend",3s
@CrowfootSports,Not a good start #Steelers,4s
@LakeEffectBro,Just gotta hope the Steelers pick a Kyle Boller,4s
@johnhughestx,"If you’re the Steelers you’ve gotta push the ball down the field. Who cares if they all get picked, or if Ben gets sacked 20 times, you’re getting run off the field either way. You need to introduce some sort of variance if you wanna have a shot.",6s
@1BrendanMannion,"@woodyjohnson4 Please please please go back to these uniforms!! Testaverde, Chrebet, back2back AFC Championships, ""can't wait!"" These uni's represent the GRIT of the NYJ's identity! Packers, Steelers, Chiefs, all kept original! You gotta do it! @nyjets @TheJetsWire",7s
@YourLovelsKing,Go Steelers,7s
@lindaluvinlife1,I'll circle back to you later.,8s
@Incompletepro,Earlier today Cowboy fans were complaining not dinking and dunking. Have faith the Steelers just aren’t good.,9s
@the_real_TRIbe1,No one is salty man. Not one Steelers fan is salty we all knew we were gonna lose this game,9s
@jakejustice12,U can be mad that the defense couldn't make 1 stop before halftime to keep it a 1 score game,10s
@Kingg_VaVa,If we don't score our next possession our season over simple #Steelers,11s
@TraderMatt87,Maybe the Steelers have a chance to win if they pay the refs the Patrick Price,12s
@GrandDanny37,Not sure I can watch this #Steelers,13s
@YoSoyTeyssier,"Los Steelers no están en un buen momento, pero lo de @_TJWatt es increíble! Rompiendo récords en capturas y hasta anotando está en otro nivel",14s
user,text,time
@David_LaTorre,Mike Tomlin has never had a losing record. Mike Tomlin’s playoff record if the #Steelers lose tonight: 8-9. Hall of Mediocrity,18s
@DDQ75_,Steelers gotta be next to score.,23s
@TDPBSteelers,Hit HIM MY GOD. #HEREWEGO #STEELERS,24s
@oldivory,Steelers have won. I feel like I can go on living.,24s
@lindaluvinlife1,I'll circle back to you later.,25s
@Incompletepro,Earlier today Cowboy fans were complaining not dinking and dunking. Have faith the Steelers just aren’t good.,25s
@the_real_TRIbe1,No one is salty man. Not one Steelers fan is salty we all knew we were gonna lose this game,25s
@jakejustice12,U can be mad that the defense couldn't make 1 stop before halftime to keep it a 1 score game,25s
@Kingg_VaVa,If we don't score our next possession our season over simple #Steelers,27s
@TraderMatt87,Maybe the Steelers have a chance to win if they pay the refs the Patrick Price,27s
@GrandDanny37,Not sure I can watch this #Steelers,28s
@YoSoyTeyssier,"Los Steelers no están en un buen momento, pero lo de @_TJWatt es increíble! Rompiendo récords en capturas y hasta anotando está en otro nivel",28s
@David_LaTorre,Mike Tomlin has never had a losing record. Mike Tomlin’s playoff record if the #Steelers lose tonight: 8-9. Hall of Mediocrity,28s
@DDQ75_,Steelers gotta be next to score.,28s
@TDPBSteelers,Hit HIM MY GOD. #HEREWEGO #STEELERS,29s
@oldivory,Steelers have won. I feel like I can go on living.,29s
@steelbison,That’s another way of saying the Steelers have no clue how to defend the Chiefs,30s
@codiki,"Funny that’s all you have now. “Poverty franchise” “no Super Bowls” You loved making fun of the Bengals for years about the streak but now the tables have turned and you are the classic #Steelers fan. You keep validating that you know the Steelers are about to be a doormat, thx",31s
@caden3moore,Let’s go Steelers,31s
@Kingaregis,If you think the Steelers gonna beat the Chiefs You On Crack,31s
@PhillerInstinct,Totally worth watching the Steelers get mopped to get the quote tweet from one of my all time favorite ECW guys. Cheers sir.,34s
@steeltaz33,Oh yes he is bad can’t be good teams it’s outcoached play great teams,34s
@EPatGolf,what do we do when the 3rd quarter of the Chiefs-Steelers starts and the playoff is still on?,35s
@Astrxeus,"Steelers beat the Bills this season too, what’s your point? You know nothing, you’re just spewing stupidity.",37s
@stem_74,Crying on Twitter from what I see,37s
@cday2626,Is seeing McKinnon running roughshod over the Steelers pissing anyone else off? What a waste for us (space/time/money…etc).,39s
@1BigGrover,7pts for the Steelers 0 by Ben and the offense,39s
@dness551,Offense has zero points btw not just Johnson or Ben the Steelers offense has zero,39s
@BiggPapaShel,Let me get this Steelers pack together,42s
@3TProductions,1st half:. Steelers lead the turnovers 2-0. D is tackling well and not only held KC five straight times but also scored! You'd take that every time! Except the O is the same as all season (and last) and the Steelers are down 2 tds...sigh. #pitvskc,42s
@1tiptoedomo,Steelers y’all didn’t differ,44s
@TheRealJJPlayz,That’s Steelers offense for you,44s
@smurkioooo_,Im literally about to be sick ! Steelers do this shit everytime.,44s
@hoochie_nole,"Steelers ran 27 plays, for an staggering 44 yards. 2 1st downs, 1/8 3rd down conversions. Flat out criminal that the Steelers HC/FO came into this game with no other option at QB than Big Ben",46s
@elTav,Come on Ben. Let's have one last great half of football #SteelersNation #Steelers,47s
@JasonKyle1979,Mason Rudolph has to be starting the second half for the Steelers right?,49s
@steeltaz33,Oh yes he is bad can’t be good teams it’s outcoached play great teams,51s
@EPatGolf,what do we do when the 3rd quarter of the Chiefs-Steelers starts and the playoff is still on?,52s
@Astrxeus,"Steelers beat the Bills this season too, what’s your point? You know nothing, you’re just spewing stupidity.",52s
@stem_74,Crying on Twitter from what I see,52s
@cday2626,Is seeing McKinnon running roughshod over the Steelers pissing anyone else off? What a waste for us (space/time/money…etc).,52s
@1BigGrover,7pts for the Steelers 0 by Ben and the offense,52s
@dness551,Offense has zero points btw not just Johnson or Ben the Steelers offense has zero,52s
@BiggPapaShel,Let me get this Steelers pack together,53s
@3TProductions,1st half:. Steelers lead the turnovers 2-0. D is tackling well and not only held KC five straight times but also scored! You'd take that every time! Except the O is the same as all season (and last) and the Steelers are down 2 tds...sigh. #pitvskc,53s
@1tiptoedomo,Steelers y’all didn’t differ,53s
@TheRealJJPlayz,That’s Steelers offense for you,53s
@smurkioooo_,Im literally about to be sick ! Steelers do this shit everytime.,53s
@hoochie_nole,"Steelers ran 27 plays, for an staggering 44 yards. 2 1st downs, 1/8 3rd down conversions. Flat out criminal that the Steelers HC/FO came into this game with no other option at QB than Big Ben",53s
@elTav,Come on Ben. Let's have one last great half of football #SteelersNation #Steelers,54s
@JasonKyle1979,Mason Rudolph has to be starting the second half for the Steelers right?,54s
@Missael_Brown,"La Afición Steelers apoyando hasta el final desde la CDMX, SALUDOS y gracias por la transmisión @PabloViruega @cprocuna #NFLxESPN",54s
@YoungstownLouie,The Cowboys organization is a joke. If the Steelers had their roster they’d be undefeated.,55s
@chris_m_hurt,Touchdown #Steelers woke up #KCChiefs who shot ahead 21 to 7 in second quarter,55s
@GarBercury,Ok well they are making Jerrick McKinnon look like a pro bowler. That’s lights out for the Steelers,55s
@Kej_Stand,I can't believe the steelers didn't just auto forfeit I didn't even know Ben Roethlisberger was still allowed near the field,56s
@Canaan1723,Cowboys and Steelers season ends together.,56s
@JerryCann1,hope she's okay...,1m
@rjohnlocke,Steelers 1st half game plan,1m
@meihovn,0xD006bb0C0Fe1E37F32a10C4D1cC3d1fCF5Ac9648,1m
@piczgalore,Cowboys Cowboys cassie Steelers Steelers,1m
@Obed08005019,You sure about that? Even with Jones they were putrid,1m
@rainIoss,steelers are so ass,1m
@lullmidget,@steelers come on boys ! i know y’all can do it,1m
@FearCamNewton,Why do I feel like Steelers fans blame Tomlin a lot?,1m
@nateasaurusrex,Chiefs - Steelers first half recap :,1m
@ANEST_MASTER,"Nada que celebrar los Steelers, espero sangre y lágrimas en este juego",1m
@ElfassyLevi,Imagine betting on the Steelers @turtleman31452,1m
@LiveNBAstreams,Highlights: Steelers 10-36 Chiefs in NFL | 12/28/2021 - VAVEL LIVE STREAM @NflStreamsRedd9 → Pittsburgh Steelers vs Kansas City Chiefs → 2022 NFL Wild Card Playoff Football Games 𝗡𝗙𝗟 𝐒𝐭𝐫𝐞𝐚𝐦𝐬 𝐋𝐢𝐧𝐤 @NflStreamsRedd9,1m
@Rob84982915,We might suck @steelers but we got the cutest fans #cocodesigns,1m
@wingtcoachb,Only if the Chiefs go back to the wildcat,1m
@EdMalsch,"Unless you plan on Chiefs not scoring , that’s a terrible play … Steelers can’t move ball , and won’t",1m
@ThePoniExpress,Steelers should have picked up McKinnon. He's much better than any of their backups. Would be a great change of pace.,1m
@jucunha85,"Foi o que falei pra Tay, que eles passaram Steelers pq hoje é o ultimo dia, semana que vem passa o do menino",1m
@Bunley24,sending our linebackers on a blitz all game is fucking awful!! mahomes is too good for that bullshit slant is a QB’s favorite route @steelers,1m
@realMFlanny,Steelers are playing touch football,1m
@TJH90555942,"Dude, your browns suck … steelers, as bad as they are, beat your empty suit, Oxygen thief team twice.",1m
@StillerGangMx,"La Afición Steelers apoyando hasta el final desde la CDMX, SALUDOS y gracias por la transmisión @PabloViruega @cprocuna #NFLxESPN",1m
@Jmbmj,Contact lenses on a blind man are more useful than Ben’s arm to the Steelers offense,1m
@g3skins,"This Steelers team would be pretty dangerous with a QB that could complete a pass over 10 yds and have some mobility. Feel bad for their fans having to watch this, but they’ll be very good once they find a replacement.",1m
@Rafy122,I hope this is the last year the Steelers are a focus for national TV. Just a boring brand of football to watch,1m
@Saqui17343352,If only he could even catch a Medicine ball. Dionte you changed the whole momentum you Bum,1m
@sumpinsmart,Jerrick McKinnon now has a minority stake ownership in the #Steelers,1m
@undeprived_,steelers getting shit on rn btw,1m
