user,text,time
@AdamReid_,"Making this bet count Come on, @steelers",Now
@rainIoss,steelers with a chance to make it all better,1s
@gabrielgonz27,#HereWeGo #Steelers,2s
@TomBradyG0AT,If Steelers win tonight I’ll change my header to a picture of Usman,5s
@lyfe3433,Steelers Nation always knows how to travel!! #HereWeGo,6s
@SSwope_Sr,Steelers by a hundred,7s
@MKolodzaike,PITTSBURGH STEELERS FANS ARE TAKING OVER TWITTER HERE WE GO PITTSBURGH STEELERS HERE WE GO,8s
@Steeler46679129,Here we go Steelers Here we go!!,11s
@Michael09019841,,12s
@tatumplswin,unbelievable,13s
@lftovrpizzapod,Talk me out of Steelers +12.5,15s
@jxmorant12,BIG W,15s
@Pennvotes2020,Every #Steelers fan right now! #SteelersNation #benroethlisberger #SnowStorm2022 Let’s Go!!!,16s
@springfieldNL,The quest for Super Bowl LVI is on. Here’s how to watch the Chiefs-Steelers NFL playoff game Sunday.,19s
user,text,time
@chrisburgh,Don’t limit his snaps,23s
@Joycestacy13,,23s
@SpaceLauren,One hour till kickoff of the retirement party! #Steelers,24s
@averiemarino,steelers fans are the best fans in the world,27s
@whatnthehill,Steelers get a couple turnovers and I don’t know … +12.5 seems too high if you betting,28s
@Matt_MacKay_,Curious to see how much of a spark JuJu can provide for the Steelers in Big Ben’s final game tonight,29s
@averiemarino,steelers fans are the best fans in the world,33s
@whatnthehill,Steelers get a couple turnovers and I don’t know … +12.5 seems too high if you betting,33s
@Matt_MacKay_,Curious to see how much of a spark JuJu can provide for the Steelers in Big Ben’s final game tonight,34s
@Pennvotes2020,Every #Steelers fan right now! #SteelersNation #benroethlisberger #SnowStorm2022 Let’s Go!!!,30s
@springfieldNL,The quest for Super Bowl LVI is on. Here’s how to watch the Chiefs-Steelers NFL playoff game Sunday.,31s
@chrisburgh,Don’t limit his snaps,32s
@Joycestacy13,,32s
@SpaceLauren,One hour till kickoff of the retirement party! #Steelers,32s
@Rantingami2,"If watching the Bucs steal the Eagles wings today…watching the Cowboys fall off their horse by the Niners is just brilliant! Now waiting to see if Chiefs can 3peat or if Pittsburgh is gonna STEEL?? (I’m not a fan of the Steelers, so I’d like to see KC win.)",35s
@aNellytics,I’m sorry Kev. I just had to Tweet at me when the Steelers are down 30 at halftime for revenge,35s
@ArcticDB18,I’ve prepared myself for an entire week that the Steelers are gonna get blown out completely yet here I am getting absolutely nervous an hour before the game,36s
@OhElby,You must love Dak Prescott and hope he comes to the Steelers,38s
@MCM_67,I love my Steelers but how in the hell did this game end up on Sunday night? We should have at least had some public discourse regarding the ethics of televising executions.,38s
@CMtheLion1,"Pumped, excited… little bit nervous. Hoping for a good showing and pulling out the win. Lets go Steelers, beat dem Chiefs",41s
