user,text,time
@NehlsStan,Considering nothing was ever proven why would I accuse someone of something like that.,4s
@Thala_Sssbu,One of the greatest QB in Steelers history,4s
@PayB_2,"It’s crazy i seen Steelers fans, Eagles fans, AND Patriots fans all tryna clown the cowboys today that’s crazy lol",5s
@ilikejeremiah,"Thanks Joe, shame you didn’t get one. Maybe the dawgs can get one ne…oh yea",5s
@trey_heart,Yeah idk wtf you was thinking dawg. They shouldn’t even be there.,5s
@mellowmead,"Ah, was looking for a Steelers vs Titans instead of Bengals? I'm a little nervous with them coming in next week.",6s
@thefontsavant,"I think I have an idea, but I’ll let others guess. On another note, today I learned the Steelers once had a player with the name of Max Kielbasa, which sounds like a Polish porn star.",7s
@WillHomonnay,The Steelers are going to use these timeouts aren’t they,7s
@Danny_PB,"Qué gusto que el último juego que veré del #BigBen sea vs mis poderosos @chiefs . Me hizo sufrir muchos años y ah cómo odio a los #steelers, pero para @_BigBen7 #Respect",8s
@Juan151005,Bueno mis steelers ya perdieron,10s
@HitItJohnny,Matt Canada is absolutely garbage,10s
@alihussein_34,"Listen I’ll take the draft pick all day. Ravens were beat up all year. You watched steelers get embarrassed, Yea I’ll take the better pick",10s
@VanceKauffman,Patrick Mahomes is unreal man the Steelers zero chance,10s
@TiggsBotta,Says someone who wasted a career losing every week.,10s
@leekinthyme,#Steelers down 3 TDs with two min left and Big Ben still throwing two yard outs SMH,11s
@DJReedGoat,Steelers are winning,11s
@Cruller19,"Don't worry, the steelers have wasted tj's",12s
@dilleemonc,"@steelers did not deserve to be here and neither did Ben, good riddance",15s
@Keljo1991,"We knew winning was a long shot, and it's been a hell of a ride. Thanks for 18 years, Ben. Enjoy your retirement. #HereWeGo #SteelersNation #Steelers #benroethlisberger",19s
@gbigbabyd,How many games did you play in the playoffs? How many rings? How many losses against the Steelers-you may need your fingers and toes to count!,20s
user,text,time
@Danny_PB,"Qué gusto que el último juego que veré del #BigBen sea vs mis poderosos @chiefs . Me hizo sufrir muchos años y ah cómo odio a los #steelers, pero para @_BigBen7 #Respect",21s
@Juan151005,Bueno mis steelers ya perdieron,23s
@HitItJohnny,Matt Canada is absolutely garbage,23s
@alihussein_34,"Listen I’ll take the draft pick all day. Ravens were beat up all year. You watched steelers get embarrassed, Yea I’ll take the better pick",23s
@VanceKauffman,Patrick Mahomes is unreal man the Steelers zero chance,23s
@TiggsBotta,Says someone who wasted a career losing every week.,23s
@leekinthyme,#Steelers down 3 TDs with two min left and Big Ben still throwing two yard outs SMH,23s
@DJReedGoat,Steelers are winning,23s
@Cruller19,"Don't worry, the steelers have wasted tj's",23s
@dilleemonc,"@steelers did not deserve to be here and neither did Ben, good riddance",24s
@Keljo1991,"We knew winning was a long shot, and it's been a hell of a ride. Thanks for 18 years, Ben. Enjoy your retirement. #HereWeGo #SteelersNation #Steelers #benroethlisberger",24s
@gbigbabyd,How many games did you play in the playoffs? How many rings? How many losses against the Steelers-you may need your fingers and toes to count!,24s
@thefontsavant,"I think I have an idea, but I’ll let others guess. On another note, today I learned the Steelers once had a player with the name of Max Kielbasa, which sounds like a Polish porn star.",20s
@WillHomonnay,The Steelers are going to use these timeouts aren’t they,20s
@paTo_0,Ya siéntese señora,26s
@MissyNicole813,"Steelers have 21 points, that's more than anyone thought they'd get",26s
@lui62240380,"kc-""u really thought u'd beat us, steelers?!""",26s
@NOTSCWill,Why’d that one Steelers fan put quotes around Ben’s name on his sign…is that not his real name? #PITvsKC,28s
@TOOFASTFOYO,The #Chiefs were letting the #Steelers score out of respect. #NFLPlayoffs,28s
@IamJasonBobbitt,New beginnings!!!!! #steelers,31s
@E_Hughes8,Fire Mike Tomlin for taking the worst Steelers team in 30 years to the playoffs and losing to the best team in the AFC on the road? Makes perfect sense!,31s
@PaulEvereklian,uh why hes telling the truth,31s
@ADudones,,32s
@dgadson1999,"Yo, don’t you like the Steelers???? never hear saying a word about them",38s
@LooiVweetonDon,"Big Rape, Steelers pack gon hit different tonight",38s
@Villarreal_316,"No es la liga muy x, esa liga si es aburrida. Saludos.",38s
@AlexRSea,Let’s try to score a TD not just pick up 1st downs #Steelers,39s
@nikkijozipovic,fuck the steelers lets go chiefs baby,39s
@BigDaddyTail,well I for one rather enjoyed big ben's retirement party #Steelers #PITvsKC #chiefs #AFCWildCard,40s
@Cattwoomen,@steelers,42s
@QDZ__,"The Cowboys and Steelers lost, the Eagles loss has been completely vindicated in my book.",44s
@B_GNation1,"Thank you #Steelers fans on twitter for following our game updates all season. Trust us when I say that the offseason is going to be interesting, so continue following for more updates leading into this year's NFL Draft and 2022 season. #HereWeGo",45s
@ScottTMcMurtry,"Not the greatest showing for the Steelers but @KendallSoler did coin the greatest TD call in football history—“looky, looky, he got a cookie!”—so I’m counting tonight as a win.",47s
@coachmacarthur,"Steelers' needs going forward imo: both lines need to be addressed in the draft, a new OC & line coach, and a stopgap vet QB to get to a deeper QB draft class.",47s
@dgadson1999,"Yo, don’t you like the Steelers???? never hear saying a word about them",50s
@LooiVweetonDon,"Big Rape, Steelers pack gon hit different tonight",50s
@Villarreal_316,"No es la liga muy x, esa liga si es aburrida. Saludos.",50s
@AlexRSea,Let’s try to score a TD not just pick up 1st downs #Steelers,50s
@nikkijozipovic,fuck the steelers lets go chiefs baby,50s
@BigDaddyTail,well I for one rather enjoyed big ben's retirement party #Steelers #PITvsKC #chiefs #AFCWildCard,51s
@Cattwoomen,@steelers,51s
@QDZ__,"The Cowboys and Steelers lost, the Eagles loss has been completely vindicated in my book.",51s
@B_GNation1,"Thank you #Steelers fans on twitter for following our game updates all season. Trust us when I say that the offseason is going to be interesting, so continue following for more updates leading into this year's NFL Draft and 2022 season. #HereWeGo",52s
@ScottTMcMurtry,"Not the greatest showing for the Steelers but @KendallSoler did coin the greatest TD call in football history—“looky, looky, he got a cookie!”—so I’m counting tonight as a win.",52s
@coachmacarthur,"Steelers' needs going forward imo: both lines need to be addressed in the draft, a new OC & line coach, and a stopgap vet QB to get to a deeper QB draft class.",52s
@ADudones,,49s
@AdamChadrick09,"From a Bengals fan, I only hated Big Ben because of how good he was. Steelers had a great one. Thank you Big Ben",52s
@Wh0kev,Great season fellas @steelers,52s
@adadlosdeportes,Ya me sangran los ojos de ver la vergüenza de mi equipo,52s
@hhbdivarty,"@SteeIerNation @steelers I have watched every game @Bradshaw12T played in, every game @_BigBen7 has played in and all the alleged QB's in between. How lucky am I ? Yet again, I watch the last game of a great steelers QB. Thank you ben.",54s
@tmcrocco97,"Thank you Big Ben for the best 18 years of my life as a football and Steelers fan. You are the reason I love football, the Steelers and found this city to live in that I love so much. I love you, and thank you for everything #ThankYouBen",57s
@kangaroo__JACK,Shutup sped,59s
@Jayhood1985,@TerrapinTampa It is an excuse you also the dude that y'all talking about can't catch got like 111 catches on the season for y'all you don't even watch your own team you,1m
@MoonDoggie1961,Going to be awhile before the Steelers get back to the playoffs!,1m
@sheri_hoge,Thank you Ben for all you have given to Pittsburgh #SteelersNation #steelers #SNUProud,1m
@Steelersgrl36,So proud of my team @steelers they never gave up! THANK YOU BEN XO #HereWeGo,1m
@Tyler_Campeau11,In the NFL you can easily have a quick turnaround and be competitive again but the Steelers have a lot of needs,1m
